query_id,route_family,query_text,primary_empirical_question,expected_contribution
AP01,A_to_pollination,"floral trait pollination","Do floral attraction/display traits covary with pollination outcomes?","Broad A-to-P empirical coverage"
AP02,A_to_pollination,"flower colour pollinator visitation","Do flower-colour differences associate with visitation or pollination?","Visual-signal A-to-P coverage"
AP03,A_to_pollination,"flower size pollination","Do flower-size differences associate with pollination?","Display-size A-to-P coverage"
AP04,A_to_pollination,"floral display pollination","Do display traits associate with pollination?","Display-level A-to-P coverage"
AP05,A_to_pollination,"floral scent pollination","Do scent traits associate with pollination?","Olfactory A-to-P coverage"
AP06,A_to_pollination,"nectar reward pollination","Do floral rewards associate with pollination?","Reward A-to-P coverage"
AH01,A_to_antagonism,"floral trait florivory","Do floral traits covary with floral herbivory or damage?","Broad A-to-H coverage"
AH02,A_to_antagonism,"flower colour florivory","Do visual traits covary with florivory?","Visual-signal A-to-H coverage"
AH03,A_to_antagonism,"floral display flower damage","Do display traits covary with floral damage?","Display A-to-H coverage"
BH01,B_to_antagonism,"floral defence florivory","Do flower-specific defence traits covary with florivory?","Broad B-to-H coverage"
BH02,B_to_antagonism,"flower chemistry florivory","Do floral chemical traits covary with floral antagonism?","Chemical B-to-H coverage"
BH03,B_to_antagonism,"floral trichome florivory","Do floral trichomes covary with florivory?","Physical-barrier B-to-H coverage"
BH04,B_to_antagonism,"floral volatile floral herbivory","Do floral volatiles covary with floral herbivory?","Conditional chemical/barrier coverage"
BP01,B_to_pollination,"floral defence pollination","Do flower-specific defence traits covary with pollination outcomes?","Broad B-to-P coverage"
BP02,B_to_pollination,"floral chemistry pollinator visitation","Do floral chemical traits covary with visitor response?","Chemical B-to-P coverage"
J01,joint_channels,"pollination florivory reproductive success","Are mutualist and antagonist channels jointly measured with fitness?","Joint-channel evidence"
J02,joint_channels,"floral damage pollination fruit set","How does floral damage relate to pollination and fruit production?","Damage-pollination-fitness evidence"
J03,joint_channels,"pollination florivory seed set","How do pollination and florivory relate to seed production?","Joint outcome evidence"
J04,joint_channels,"pre-dispersal seed predation floral trait","Do floral traits relate to pre-dispersal seed predation?","Antagonism and reproductive-output evidence"
J05,joint_channels,"nectar robber pollination floral trait","How do nectar robbers, floral traits, and pollination connect?","Robbery channel evidence"
J06,joint_channels,"pollen thief pollination floral trait","How do pollen thieves, floral traits, and pollination connect?","Pollen-theft channel evidence"
