trait_id,trait_label,organ,functional_module,trait_modality,candidate_consumer_layer,mechanism_claim,evidence_grade,global_availability,provisional_role,v1_decision,source_seed_ids,notes
flower_size,individual flower or capitulum size,flower,A_flower,visual_structural,pollination;florivory,changes detectability and handling and may change florivore exposure,B,medium,primary floral attraction candidate,retain_pending_coverage,MCALL_IRWIN_2006;PEREZ_HARGUINDEGUY_2013,analyse as direct measurement rather than a universal attraction score
inflorescence_display,flower number or display area,inflorescence,A_flower,visual_structural,pollination;florivory,changes floral display to mutualists and antagonists,B,medium,primary floral attraction candidate,retain_pending_coverage,MCALL_IRWIN_2006;PEREZ_HARGUINDEGUY_2013,retain flower number and display area separately when possible
floral_access,corolla depth width or floral opening,flower,A_flower,structural,pollination,changes visitor access and handling,B,low_medium,secondary attraction candidate,retain_pending_coverage,PEREZ_HARGUINDEGUY_2013,require a source-specific definition and units
nectar_reward,nectar volume sugar amount or concentration,flower,A_flower,reward,pollination;nectar_robbing,changes reward quantity or quality,A,low,secondary attraction candidate,hold_for_coverage_audit,MCALL_IRWIN_2006,do not mix volume and concentration without a declared transformation
floral_colour_contrast,reflectance or contrast measurement,flower,A_flower,visual,pollination;florivory,changes visual detection and preference,B,low,case-specific attraction candidate,hold_for_coverage_audit,MCALL_IRWIN_2006,exclude categorical pollination syndrome and uncalibrated colour labels
floral_scent,volatile emission or compound profile,flower,A_flower,chemical_signal,pollination;florivory,can attract or repel mutualists and antagonists,B,very_low,case-specific dual-function trait,hold_for_coverage_audit,MCALL_IRWIN_2006,requires comparable collection and chemistry protocols
bract_or_involucral_spines,spine density or length on bracts or involucre,flower_or_capitulum,B_flower,structural,florivory;seed_predation;pollination,limits consumer access and may impede visitors,C,very_low,floral barrier case trait,hold_for_case_study,HANLEY_2007;MCALL_IRWIN_2006,high relevance for Cirsium but not presumed globally available
floral_trichomes,trichome density or type on floral structures,flower_or_inflorescence,B_flower,structural,florivory;pollination,physical barrier or deterrence with possible visitor effects,C,very_low,floral barrier case trait,hold_for_case_study,HANLEY_2007;MCALL_IRWIN_2006,organ-specific measurement required
floral_sticky_secretions,sticky secretion around reproductive structures,flower_or_inflorescence,B_flower,structural_chemical,florivory;small_visitors;pollination,entrapment or access limitation,C,very_low,floral barrier case trait,hold_for_case_study,MCALL_IRWIN_2006,mechanism and non-target effects must be directly measured
sla,specific leaf area,leaf,Q_leaf,leaf_economics,leaf_herbivory,leaf construction and resource-quality proxy not direct resistance,B,high,primary leaf quality candidate,retain_pending_coverage,CARMONA_2011;PEREZ_HARGUINDEGUY_2013;KATTGE_2020,analyse together with LDMC and leaf nutrients not as defence score
ldmc,leaf dry matter content,leaf,Q_leaf,leaf_economics,leaf_herbivory,leaf tissue density and construction-quality proxy,B,high,primary leaf quality candidate,retain_pending_coverage,CARMONA_2011;PEREZ_HARGUINDEGUY_2013;KATTGE_2020,not interchangeable with SLA despite correlation in some taxa
leaf_n_mass,leaf nitrogen concentration per dry mass,leaf,Q_leaf,nutritional,leaf_herbivory,resource quality and nutritional value proxy,B,high,primary leaf quality candidate,retain_pending_coverage,CARMONA_2011;KATTGE_2020,require dry-mass basis and organ-stage metadata
leaf_p_mass,leaf phosphorus concentration per dry mass,leaf,Q_leaf,nutritional,leaf_herbivory,resource quality proxy,B,high,secondary leaf quality candidate,retain_pending_coverage,CARMONA_2011;KATTGE_2020,include only if coverage supports a separate nutrient axis
leaf_thickness,leaf thickness,leaf,Q_leaf,structural_quality,leaf_herbivory,physical construction and potential palatability proxy,B,medium_high,secondary leaf quality candidate,retain_pending_coverage,CARMONA_2011;PEREZ_HARGUINDEGUY_2013;KATTGE_2020,not a direct toughness measurement
leaf_toughness,force to punch cut or fracture leaf tissue,leaf,B_leaf,structural,leaf_herbivory,direct mechanical barrier to feeding,A,low_medium,conditional leaf resistance candidate,hold_for_coverage_audit,CARMONA_2011;HANLEY_2007,retain only if units and protocol are harmonisable
leaf_trichomes,trichome density or type on leaves,leaf,B_leaf,structural,leaf_herbivory,physical deterrence or handling barrier,A,low,conditional leaf resistance candidate,hold_for_coverage_audit,CARMONA_2011;HANLEY_2007,do not mix glandular and non-glandular trichomes without a mechanism rule
leaf_spines,spine or prickle density on leaves,leaf,B_leaf,structural,vertebrate_browsing;leaf_herbivory,access limitation with consumer-size-dependent effect,B,very_low,case-specific structural resistance trait,hold_for_case_study,HANLEY_2007,do not interpret as an insect-defence proxy without evidence for the relevant guild
latex_resin_exudate,latex resin or sticky exudate,leaf,B_leaf,chemical_structural,leaf_herbivory,deterrence trapping or reduced digestibility,A,very_low,clade-specific resistance trait,hold_for_case_study,CARMONA_2011;HANLEY_2007,requires chemically and structurally comparable definitions
secondary_metabolites,measured defensive compound concentration,leaf,B_leaf,chemical,leaf_herbivory,deterrence toxicity or digestibility reduction,A,low,clade-specific resistance trait,hold_for_clade_specific_analysis,CARMONA_2011,never pool unlike compound classes into one global chemical-defence score
leaf_shape,leaf area lobing dissection or shape index,leaf,exposure_covariate,morphology,leaf_herbivory,may alter exposure microclimate or handling but no universal defence direction,U,medium_high,covariate_or_future_module,exclude_from_v1_defence,PEREZ_HARGUINDEGUY_2013,needs an explicit herbivore mechanism before reclassification
leaf_mottling,leaf mottling or variegation,leaf,visual_leaf,visual,leaf_herbivory,may alter detection mimic damage or reflect physiology but direction unresolved,U,very_low,future visual-leaf case,exclude_from_v1,PEREZ_HARGUINDEGUY_2013,not a defence trait by default
stem_wood_traits,wood density bark thickness or stem chemistry,stem_or_wood,stem_resistance,structural_chemical,stem_borers;vertebrate_browsing,organ-specific resistance to stem consumers,C,medium,independent future model,exclude_from_v1,HANLEY_2007,do not combine with leaf or floral traits
material_suitability,leaf cutting transport or nest-material performance,leaf,material_use,structural_quality,leaf_cutting_bees,material suitability is distinct from damage resistance,U,very_low,independent future model,exclude_from_v1,,not herbivory by default
