query_id,seed_route,target_level,query_text,target_signal,screen_priority,notes
D01,factorial_flower_trait_fitness,D2_or_D3,"(floral defence OR floral defense OR flower barrier OR floral trichome OR floral chemical) AND (pollinator OR pollination OR visitation) AND (florivory OR floral herbivory OR flower damage) AND (fruit set OR seed set OR reproductive success) AND (manipulation OR experimental)",independent A/B manipulation plus both channels plus reproductive fitness,highest,Prioritise factorial or quasi-factorial designs; do not equate a damage outcome with a measured B trait.
D02,individual_fitness_surface,D2,"(flower trait OR floral trait) AND (floral defence OR floral defense OR flower chemistry) AND (pollination success OR pollen transfer OR visitation) AND (florivory OR flower damage OR seed predation) AND (individual plant OR plant-level) AND (viable seeds OR seed set OR fruit set)",individual-level A/B traits + both channels + fitness surface,highest,Screen for common plant/flower identifiers and denominators before reading conclusions.
D03,channel_mechanism_panel,D1,"(floral trait) AND (floral defence OR floral defense OR access limitation) AND (pollinator visitation OR pollen transfer) AND (florivory OR floral herbivory) AND (trait effect OR selection gradient OR structural equation)",four directional A→P/A→H/B→H/B→P paths,highest,Retain only studies that estimate trait effects on both interaction channels rather than merely reporting both outcomes.
D04,allocation_cost_or_calibration,D3,"(floral display OR nectar OR flower size) AND (floral defence OR floral defense) AND (allocation cost OR resource allocation OR carbon cost) AND (pollination OR florivory)",shared A×B cost / allocation layer,high,Usually a follow-up or citation-chase route; D3 is expected to be rare.
A01,floral_damage_traits,M2,"(florivory OR floral herbivory OR flower damage) AND (flower trait OR floral trait OR floral defence OR floral defense) AND (pollinator OR pollination OR visitation)",trait + pollination + floral-antagonist co-occurrence,high,Core M2 route; screen title/abstract/full text but do not label D1 without four estimated arrows.
A02,floral_damage_traits,M2,"(seed predation OR pre-dispersal seed predation) AND (floral display OR flower size OR floral trait) AND pollination",floral antagonism plus attraction trait,high,Retain only studies with site/time and empirical response; require an independent B trait for D1+.
B01,scent_reward_antagonists,M1_or_M2,"(floral scent OR floral fragrance OR nectar reward) AND (florivore OR beetle OR nectar robber OR pollen thief) AND (pollinator OR pollination)",shared attraction / antagonist cue or reward,high,Do not assume scent/reward is a barrier trait; screen for a separate protection measure and for the B→P path.
B02,scent_reward_antagonists,M1_or_M2,"(floral volatile OR floral chemistry) AND (pollinator visitation OR pollen transfer) AND (florivory OR floral herbivory)",chemical trait with both channels,high,Prioritise downloadable tables and trait manipulations; chemistry must have demonstrated flower-specific barrier function to serve as B.
C01,plant_level_panels,M2,"(pollinator visitation OR pollination success) AND (florivory OR flower damage) AND (individual plant OR plant-level) AND floral",plant-level linkage,high,Search supplements/repositories for plant identifiers, denominators, and a total reproductive-fitness response.
C02,public_data_discovery,M0_to_D2,"(pollination AND florivory) AND (supplementary data OR Dryad OR Zenodo OR Figshare OR Mendeley Data)",recoverable data table,high,Discovery route for machine-readable evidence; public data alone never determines evidence level.
